PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
Goga Bitadze;515.9;82;129;0;11;32;41;63;104;167;43;29;17;34;8;57;38;196;8;0;2099.7599999999998;2.597;1021
Gradey Dick;649.14;119;288;50;144;69;76;13;50;63;39;33;18;5;11;40;59;357;0;0;2016.41;1.421;1360
Grant Williams;479.02;54;123;27;74;31;37;18;64;82;37;28;18;13;6;46;43;166;0;0;1606.46;1.174;995
Grayson Allen;452.88;64;152;44;115;38;46;10;45;55;37;23;14;6;6;26;36;210;1;0;1914.22;1.574;955
Guerschon Yabusele;538.3;80;163;34;86;23;40;40;84;124;43;29;15;10;11;60;37;217;1;0;2138.41;1.943;1091
Gui Santos;22.38;2;5;1;3;1;2;1;5;6;2;2;0;0;0;3;2;6;0;0;636.1;-0.393;52
Harrison Barnes;688.11;86;177;34;79;58;71;39;65;104;40;18;7;5;11;19;52;264;1;0;2408.3;1.859;1437
Harrison Ingram;6.75;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;106.67;-0.039;15
Haywood Highsmith;507.84;53;108;25;60;13;19;16;45;61;23;12;24;16;5;44;22;144;0;0;2015.29;1.177;1046
Herbert Jones;219.37;29;56;7;24;10;15;6;18;24;14;12;13;4;0;20;11;75;0;0;710.2;0.443;465
Hunter Tyson;129.44;12;27;4;16;8;9;6;19;25;7;5;2;3;1;15;6;36;0;0;1506.85;1.7060000000000002;294
Immanuel Quickley;67.55;16;42;6;16;8;9;1;5;6;12;4;2;0;5;7;7;46;0;0;301.8;0.375;140
Isaac Jones;136.76;28;41;1;3;7;15;8;15;23;2;9;1;6;7;21;13;64;0;0;1441.44;-3.787;295
Isaac Okoro;438.79;45;94;25;54;11;17;19;30;49;38;7;15;9;10;43;19;126;0;0;2151.7400000000002;1.012;926
Isaiah Collier;278.48;22;71;4;27;8;18;1;26;27;53;38;15;2;8;29;17;56;0;0;1647.37;0.20899999999999996;598
Isaiah Crawford;5.23;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;96.31;0.0;11
Isaiah Hartenstein;267.26;46;83;0;4;12;21;30;85;115;39;19;7;11;6;30;15;104;7;0;914.32;1.327;564
Isaiah Jackson;83.88;14;23;0;0;7;14;11;17;28;5;5;3;8;2;14;7;35;0;0;526.65;0.485;184
Isaiah Joe;473.24;70;170;52;136;7;10;12;49;61;38;10;15;5;6;39;31;199;0;0;2277.59;1.697;1017
Isaiah Stewart;544.41;61;110;5;20;29;33;58;95;153;47;28;13;33;4;73;32;156;2;0;2506.24;2.19;1135
Isaiah Wong;28.8;5;11;1;2;7;8;3;2;5;4;3;2;0;4;5;5;18;0;0;203.60000000000002;0.356;62
Ivica Zubac;810.75;165;274;0;0;39;73;99;205;304;58;50;13;26;20;52;85;369;15;0;2459.85;3.531;1660
JD Davison;17.08;1;4;0;2;1;2;0;2;2;1;4;1;0;0;1;2;3;0;0;398.76;1.829;36
JT Thor;16.01;7;7;3;3;2;2;0;2;2;0;2;2;2;0;2;1;19;0;0;317.07;1.18;33
Ja Morant;394.38;102;223;19;63;81;95;8;53;61;119;52;14;5;12;24;81;304;6;1;1480.66;2.2889999999999997;868
Ja'Kobe Walter;201.24;30;84;8;40;9;13;10;26;36;17;11;6;2;8;22;13;77;1;0;1138.34;0.399;430
Jabari Smith Jr.;757.53;103;236;43;122;42;49;43;127;170;22;16;7;24;15;62;54;291;4;0;2485.15;2.117;1565
Jabari Walker;204.33;22;59;2;17;11;13;18;40;58;13;13;6;3;11;22;18;57;0;0;1983.22;4.417;448
Jack McVeigh;21.42;3;11;2;8;0;0;1;3;4;1;1;0;1;0;1;0;8;0;0;692.01;2.1550000000000002;52
Jacob Toppin;20.95;1;3;0;2;0;0;0;3;3;2;1;0;0;0;0;0;2;0;0;748.72;0.475;46
Jaden Hardy;320.24;52;133;18;59;22;25;4;26;30;27;31;14;1;9;30;19;144;0;0;2292.84;0.243;693
Jaden Ivey;731.83;150;337;45;119;77;106;32;68;100;102;75;23;10;24;60;84;422;0;0;2394.71;2.189;1518
Jaden McDaniels;690.99;91;207;27;88;18;26;27;58;85;42;24;26;17;12;72;34;227;0;0;2239.71;1.22;1399
Jaden Springer;23.99;2;7;0;2;2;4;3;3;6;3;1;3;0;0;3;4;6;0;0;1292.61;-0.101;53
Jae Crowder;83.76;6;17;3;12;5;6;5;10;15;4;3;3;0;1;9;2;20;0;0;506.22;0.22;174
Jae'Sean Tate;58.87;9;16;0;2;6;9;4;18;22;6;6;5;0;0;10;7;24;0;0;1149.41;1.182;135
Jaime Jaquez Jr.;386.28;58;140;10;36;31;44;26;66;92;42;27;19;2;20;26;29;157;1;0;1774.75;1.73;796
